trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
determination_vrd_asct,0.5452054794520548,365,199,0.47240820043152476,0.07279727902053001,1,0.10296377912163734,0.8840543739497662,0.7810905948281288,-5.320059089510933,5.449004271824017,rMAP
elokrd,0.5777777777777777,45,26,0.5,0.07777777777777772,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-3.8286413964890684,2.000000000000001,Uniform
elokrd,0.5777777777777777,45,26,0.4387436807572335,0.1390340970205442,0,0.42866991832852364,0.4488424025475979,0.02017248421907425,-3.86553700877721,9296.999999997404,Pooled
elokrd,0.5777777777777777,45,26,0.48457825705606294,0.09319952072171478,1,0.0626244954764843,0.875274796038866,0.8126503005623817,-3.196424744496621,4.15146778468432,EqualWeight
elokrd,0.5777777777777777,45,26,0.4718292226761761,0.10594855510160162,1,0.10463627800345421,0.882792416960001,0.7781561389565468,-3.3402244097136937,5.571822109117783,rMAP
endurance_krd,0.1026615969581749,526,54,0.5,0.3973384030418251,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-6.267200548541496,2.000000000000001,Uniform
endurance_krd,0.1026615969581749,526,54,0.459505444646098,0.3568438476879231,0,0.4491121135652065,0.4699161760509014,0.020804062485694885,-153.6238465921124,8815.999999996906,Pooled
endurance_krd,0.1026615969581749,526,54,0.4955870204573273,0.3929254234991524,1,0.06285049393773079,0.8752748109400272,0.8124243170022964,-6.381829287340247,4.518365005902819,EqualWeight
endurance_krd,0.1026615969581749,526,54,0.4843681300288253,0.3817065330706504,0,0.11411206051707268,0.8805869109928608,0.7664748504757881,-7.596560394208925,6.108835226955531,rMAP
endurance_vrd,0.0721062618595825,527,38,0.5,0.42789373814041753,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-6.269096283705949,2.000000000000001,Uniform
endurance_vrd,0.0721062618595825,527,38,0.4613726602382303,0.38926639837864785,0,0.4509752430021763,0.4717866741120815,0.020811431109905243,-189.0731441949374,8814.99999999904,Pooled
endurance_vrd,0.0721062618595825,527,38,0.4962988512109346,0.42419258935135207,1,0.06972294673323631,0.8752748109400272,0.8055518642067909,-6.375289383731837,4.589186688964844,EqualWeight
endurance_vrd,0.0721062618595825,527,38,0.48625837617587975,0.4141521143162973,0,0.11487169191241264,0.8805808536708355,0.7657091617584229,-7.7881153901613995,6.148762239820876,rMAP
forte_krd12,0.5569620253164557,158,88,0.5,0.05696202531645567,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.068904202220196,2.000000000000001,Uniform
forte_krd12,0.5569620253164557,158,88,0.4373911149825784,0.11957091033387729,0,0.4272593893110752,0.44754866883158684,0.020289279520511627,-7.225451922735374,9183.99999999604,Pooled
forte_krd12,0.5569620253164557,158,88,0.4850069178820955,0.07195510743436018,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.450290296881072,4.135548651627932,EqualWeight
forte_krd12,0.5569620253164557,158,88,0.4720991033547477,0.08486292196170797,1,0.10407698526978493,0.8832319416105747,0.7791549563407898,-4.510070085571319,5.528883691791896,rMAP
forte_krd_asct,0.5822784810126582,158,92,0.5,0.08227848101265822,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.068904202220253,2.000000000000001,Uniform
forte_krd_asct,0.5822784810126582,158,92,0.436955574912892,0.14532290609976622,0,0.42682506516575813,0.4471120871603489,0.02028702199459076,-9.350422854222415,9183.999999996715,Pooled
